"Photo","Time","Z_Frame","Text"
"Paschall Press Pool 2","20.35","","Bus turning corner of Main/Houston, Zapruder moving"
"Dillard 2","20.45","","J. Jarman, B.R. Williams, H. Norman visible on the 5th floor"
"Powell","21.45","","B.R. Williams visible on the 5th floor"
"Couch 1a","25.45","","Overlaps Darnell film"
"Darnell 1","25.45","","Overlaps Couch film"
"Couch 1b","29.45","","McLain, Courson, Haygood, Hargis visible"
"Darnell 2","33.45","","Buses on Houston visible"
"Bell 4","34.00","","Hargis running back"
"Wiegman B start","35.45","",""
"Bond 4","36.00","",""
"Cancellare 1","38.95","",""
"J. Towner 2","40.95","","Courson on left of frame"
"Wiegman C start","41.25","","Bus in background level with building edge"
"Bothun 5","42.75","","Hargis about to leave. Haygood on right of frame"
"Darnell 2b","43.95","",""
"Wiegman C end","45.95","","Cancellare ambles over towards the Newman family"
"Rickerby 0","47.45","","Stoughton=long lens Rickerby=wide lens Jack White 2007-01-05"
"Stoughton","48.45","","Stoughton=long lens Rickerby=wide lens Jack White 2007-01-05"
"Martin Wiegman","50.45","","Wiegman runs back to Camera car #1"
"Atkins films Wiegman","55.45","","As seen in ""The Last Two Days"""
"Rickerby 1","58.95","",""
"Couch 2a","64.45","","Cancellare poised to take next photo"
"Grant","65.45","",""
"Martin Cong cars","68.45","","Altgens dithers briefly. Cancellare takes photo and starts running."
"Rickerby 2","69.45","",""
"Cancellare 2","69.65","","Congressman car and Moorman feet/legs visible"
"Hughes 5b","71.95","","Camera car #2 starts overtaking"
"Couch 3a","72.36","","Camera car #2 starts overtaking"
"Bell Dillard Cancellare","76.95","","Haygood begins his run"
"Hughes 5c","76.95","","Atkins near CC#1 Cong#1 in line with last tree"
"Dillard 3","78.95","",""
"Willis 6","80.55","","Cancellare on road near Haygood bike"
"Paschall Bus #1 Elm","82.95","","Bus #3 leaves main, Bus #1 accelerates on Elm"
"Paschall CC #1 Elm","82.95","","Camera car #1 being overtaken"
"Darnell 3","83.45","","Shortly, MacNeil watches Mr Newman thump the ground"
"Cabluck 1","84.15","","From bus, MacNeil shadow on left frame"
"Cabluck 2","88.45","","MacNeil watches Mr Newman thump the ground"
"Bond 5","88.95","","MacNeil & Darnell in line with front of Bus #1"
"Paschall Bus #1 Elm 2","91.35","","Bus #3 leaves main, Bus #1 accelerates on Elm"
"Willis 7","91.65","","MacNeil shadow behind bus on grass. Darnell on road"
"Paschall CC #1 Elm 3","96.45","","Camera car #1 disappears under bridge"
"Bond 6","100.65","","MacNeil bisects line between sign & tree by steps"
"Cabluck 3","102.85","",""
"J. Towner 3","106.95","","MacNeil in line between 2 far trees"
"Bond 7","111.95","","Unseen R.J. Dale assumed to be behind Bus #2"
"Skaggs 6","111.95","","Almost same time as Bond 7"
"Cancellare 3","116.95","","MacNeil & Haygood on wall"
"Bond 8","119.95","","Sync with Darnell 4 - runners by tree"
"Darnell 4","119.95","","Sync with Bond 8 - runners by tree"
"Bond 9","135.95","","Edgar Smith searches for assassin around pergola 7H568"
"Darnell DPD Rear","148.95","","Extra #2 passing under bridge"
